UNIDADE;ANO;SEMESTRE;CURSO;PERIODO;TURMA;DATA INICIO;DATA TERMINO;DISCIPLINA;TURNO;DIA SEMANA;HORÁRIO;SALA;PROFESSOR
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;4º Semestre;DM4M26/1  ;02/03/2026;18/07/2026;Cultura, Identidade e Comportamento;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;ONLINE;CRISTIANO DA CUNHA PEREIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;4º Semestre;DM4M26/1  ;02/03/2026;18/07/2026;Desenho Técnico Digital de Moda;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;502;NICELE DE DAVID BRANDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;4º Semestre;DM4M26/1  ;02/03/2026;18/07/2026;Pesquisa de Consumo e Mercado;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;502;DEBORA IDALGO PAIM MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;4º Semestre;DM4N26/1  ;02/03/2026;18/07/2026;Cultura, Identidade e Comportamento;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;ONLINE;CRISTIANO DA CUNHA PEREIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;4º Semestre;DM4N26/1  ;02/03/2026;18/07/2026;Modelagem Experimental Avançada;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;207;NICELE DE DAVID BRANDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;4º Semestre;TUT4M26/1 ;02/03/2026;18/07/2026;Coleção de Moda;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;308;NICELE DE DAVID BRANDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;5º Semestre;DM5M26/1  ;02/03/2026;18/07/2026;Modelagem Digital;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;502;LIVIA ACCIOLY MENEZES DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;5º Semestre;DM5M26/1  ;02/03/2026;18/07/2026;Prática Profissional: Projeto de Moda;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;502;NICELE DE DAVID BRANDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;5º Semestre;DM5N26/1  ;02/03/2026;18/07/2026;Modelagem Digital;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;502;LIVIA ACCIOLY MENEZES DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE MODA;5º Semestre;DM5N26/1  ;02/03/2026;18/07/2026;Prática Profissional: Projeto de Moda;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;502;DEBORA IDALGO PAIM MARQUES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;1º Semestre;IA1N26/1  ;02/03/2026;18/07/2026;Fundamentos de Ciência de Dados;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;602;VITOR HUGO DA SILVA LOPES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;1º Semestre;IA1N26/1  ;02/03/2026;18/07/2026;Manipulação e Visualização de Dados;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;604;NATALIA MARRONI BORGES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;1º Semestre;IA1N26/1  ;02/03/2026;18/07/2026;Probabilidade e Estatística I;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;311;ALINE BRUM OTTES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;2º Semestre;IA2N26/1  ;02/03/2026;18/07/2026;Estruturas de Dados para Ciência de Dados;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;604;VITOR HUGO DA SILVA LOPES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;2º Semestre;IA2N26/1  ;02/03/2026;18/07/2026;Extração e Análise de Dados;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;603;LUCAS GABRIEL FERREIRA ALVES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;2º Semestre;IA2N26/1  ;02/03/2026;18/07/2026;Probabilidade e Estatística II;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;311;ALINE BRUM OTTES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;3º Semestre;IA3N26/1  ;02/03/2026;18/07/2026;Banco de Dados NoSQL;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;603;LUCAS GABRIEL FERREIRA ALVES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM INTELIGÊNCIA ARTIFICIAL E CIÊNCIA DE DADOS;3º Semestre;IA3N26/1  ;02/03/2026;18/07/2026;Metodologias e Engenharia de Requisitos;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;702;NATALIA MARRONI BORGES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;1º Semestre;MK1M26/1A ;02/03/2026;18/07/2026;Marketing Pessoal e Comunicação Empresarial;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;CLAUDIA CECILIA SERAFINI MALLMANN
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;1º Semestre;MK1M26/1S ;02/03/2026;18/07/2026;Marketing Pessoal e Comunicação Empresarial;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;CLAUDIA CECILIA SERAFINI MALLMANN
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;1º Semestre;MK1N26/1  ;02/03/2026;18/07/2026;Gestão de Vendas;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;ONLINE;ROBERTO DOS SANTOS OLIVEIRA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;1º Semestre;MK1N26/1  ;02/03/2026;18/07/2026;Marketing Estratégico;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;302;NEREIDA PRUDENCIO VIANNA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;2º Semestre;MK2N26/1  ;02/03/2026;18/07/2026;Branding;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;410;DEBORA FERREIRA COELHO
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;2º Semestre;MK2N26/1  ;02/03/2026;18/07/2026;Pesquisa e Tendências de Consumo;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;302;DEBORA FERREIRA COELHO
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;3º Semestre;MK3N26/1  ;02/03/2026;18/07/2026;Análise e Ciência de Dados;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;ONLINE;VITOR HUGO DA SILVA LOPES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;3º Semestre;MK3N26/1  ;02/03/2026;18/07/2026;Marketing do Varejo e Serviços;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;304;DEBORA FERREIRA COELHO
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;4º Semestre;MK4N26/1  ;02/03/2026;18/07/2026;Inovação e Desenvolvimento de Produtos;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;205;CLAUDIA CECILIA SERAFINI MALLMANN
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;4º Semestre;MK4N26/1  ;02/03/2026;18/07/2026;Produção de Conteúdo e Storytelling;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;801;FABRICIO AUGUSTO KIPPER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;4º Semestre;MK4N26/1  ;02/03/2026;18/07/2026;Projeto Integrador - Gestão Ágil e Inovação;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;302;ROBERTO DOS SANTOS DONATO
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;4º Semestre;MK4N26/1C ;02/03/2026;18/07/2026;Estratégias de Marketing Digital;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;ONLINE;DEBORA FERREIRA COELHO
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;5º Semestre;MK5N26/1  ;02/03/2026;18/07/2026;Métricas e Performance Digital;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;310;DEBORA FERREIRA COELHO
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;5º Semestre;MK5N26/1  ;02/03/2026;18/07/2026;Projeto Integrador - Consultoria Organizacional;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;310;MARCELO VIANNA BATISTA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM MARKETING;5º Semestre;MK5N26/1C ;02/03/2026;18/07/2026;Tópicos Especiais em Marketing;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;ONLINE;CLAUDIA CECILIA SERAFINI MALLMANN
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;1º Semestre;PG1N26/1  ;02/03/2026;18/07/2026;Gestão da Cadeia de Suprimentos;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;505;JACQUELINE DOS SANTOS ZAPP
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;1º Semestre;PG1N26/1  ;02/03/2026;18/07/2026;Modelos de Negócios;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;ONLINE;GABRIELA TAVOLARA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;1º Semestre;PG1N26/1  ;02/03/2026;18/07/2026;Raciocínio Lógico;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;413;GERALDO GIRARDI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;2º Semestre;PG2N26/1  ;02/03/2026;18/07/2026;Análise de Cenários Econômicos Globais;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;ONLINE;SANDRO CELESTINO DA ROSA WOLLENHAUPT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;2º Semestre;PG2N26/1  ;02/03/2026;18/07/2026;Cultura e Clima Organizacional;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;302;NEREIDA PRUDENCIO VIANNA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;2º Semestre;PG2N26/1  ;02/03/2026;18/07/2026;Matemática para Negócios;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;205;MAGDA LEYSER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;3º Semestre;PG3N26/1  ;02/03/2026;18/07/2026;Logística Integrada;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;505;JACQUELINE DOS SANTOS ZAPP
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;3º Semestre;PG3N26/1  ;02/03/2026;18/07/2026;Precificação e Valor de Mercado;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;205;DILANI SILVEIRA BASSAN
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;3º Semestre;PG3N26/1  ;02/03/2026;18/07/2026;Sistemas de Produção e Operações;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;413;GERALDO GIRARDI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;3º Semestre;PG3N26/1C ;02/03/2026;18/07/2026;Mercados Internacionais e Negócios;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;ONLINE;JACQUELINE DOS SANTOS ZAPP
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;4º Semestre;PG4N26/1  ;02/03/2026;18/07/2026;Business Intelligence e Análise Preditiva;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;303;MAGDA LEYSER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;4º Semestre;PG4N26/1  ;02/03/2026;18/07/2026;Legislação e Práticas Trabalhistas;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;413;SANDRO CELESTINO DA ROSA WOLLENHAUPT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;4º Semestre;PG4N26/1  ;02/03/2026;18/07/2026;Liderança Estratégica;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;304;NEREIDA PRUDENCIO VIANNA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;5º Semestre;PG5M26/1A ;02/03/2026;18/07/2026;Empreendedorismo;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;ROBERTO ZANONI
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;5º Semestre;PG5M26/1S ;02/03/2026;18/07/2026;Empreendedorismo;MANHÃ - M;SÁBADO;09:00 - 12:00;ONLINE;GLAUCILENE PEDROSO TRAPP
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS;5º Semestre;PG5N26/1C ;02/03/2026;18/07/2026;Gamificação Empresarial;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;ONLINE;SERGIO RENATO FERREIRA DECKER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1M26/1  ;02/03/2026;18/07/2026;Comunicação Criativa;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;308;FELIPE RODRIGO BORBA DA ROSA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1M26/1  ;02/03/2026;18/07/2026;Desenvolvimento Gráfico;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;308;ALEXANDRE DAVI BORGES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1M26/1  ;02/03/2026;18/07/2026;Fundamentos do Design;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;102;FABRIZZIA BOCACCIO CINEL LACERDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1M26/1  ;02/03/2026;18/07/2026;Ilustração Digital;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;308;FELIPE PERUZZO MILKEWICZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1N26/1  ;02/03/2026;18/07/2026;Comunicação Criativa;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;308;FELIPE RODRIGO BORBA DA ROSA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1N26/1  ;02/03/2026;18/07/2026;Desenvolvimento Gráfico;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;308;ALEXANDRE DAVI BORGES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1N26/1  ;02/03/2026;18/07/2026;Fundamentos do Design;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;102;FABRIZZIA BOCACCIO CINEL LACERDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;1º Semestre;PM1N26/1  ;02/03/2026;18/07/2026;Ilustração Digital;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;309;FELIPE PERUZZO MILKEWICZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2M26/1  ;02/03/2026;18/07/2026;Criação de Roteiros;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;801;MARIA HENRIQUETA CREIDY SATT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2M26/1  ;02/03/2026;18/07/2026;Experiência do Usuário e Design de Interface.;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;601;FABRICIO AUGUSTO KIPPER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2M26/1  ;02/03/2026;18/07/2026;Fotografia;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;102;ALEXANDRE DAVI BORGES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2M26/1  ;02/03/2026;18/07/2026;Introdução ao 3D;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;309;ANDRE SOUZA DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2N26/1  ;02/03/2026;18/07/2026;Criação de Roteiros;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;801;MARIA HENRIQUETA CREIDY SATT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2N26/1  ;02/03/2026;18/07/2026;Experiência do Usuário e Design de Interface.;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;601;FABRICIO AUGUSTO KIPPER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2N26/1  ;02/03/2026;18/07/2026;Fotografia;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;102;ALEXANDRE DAVI BORGES
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;2º Semestre;PM2N26/1  ;02/03/2026;18/07/2026;Introdução ao 3D;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;309;ANDRE SOUZA DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;3º Semestre;PM3M26/1  ;02/03/2026;18/07/2026;Produção de Vídeo;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;801;MARIA HENRIQUETA CREIDY SATT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;3º Semestre;PM3N26/1  ;02/03/2026;18/07/2026;Animação 2D;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;801;ANDRE SOUZA DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;3º Semestre;PM3N26/1  ;02/03/2026;18/07/2026;Produção de Vídeo;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;801;MARIA HENRIQUETA CREIDY SATT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;3º Semestre;PM3N26/1  ;02/03/2026;18/07/2026;Projeto de Jogos;NOITE - N;SEXTA-FEIRA;19:00 - 22:00;801;FELIPE PERUZZO MILKEWICZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;4º Semestre;PM4M26/1  ;02/03/2026;18/07/2026;Animação 3D;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;309;ANDRE SOUZA DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;4º Semestre;PM4M26/1  ;02/03/2026;18/07/2026;Efeitos Especiais;MANHÃ - M;SEXTA-FEIRA;09:00 - 12:00;308;FABRICIO AUGUSTO KIPPER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;4º Semestre;PM4M26/1  ;02/03/2026;18/07/2026;Jogos Digitais;MANHÃ - M;QUARTA-FEIRA;09:00 - 12:00;308;FELIPE PERUZZO MILKEWICZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;4º Semestre;PM4M26/1  ;02/03/2026;18/07/2026;Projeto Multimídia I;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;102;FABRIZZIA BOCACCIO CINEL LACERDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;4º Semestre;PM4N26/1  ;02/03/2026;18/07/2026;Animação 3D;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;308;ANDRE SOUZA DA SILVA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;4º Semestre;PM4N26/1  ;02/03/2026;18/07/2026;Jogos Digitais;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;308;FELIPE PERUZZO MILKEWICZ
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;4º Semestre;PM4N26/1  ;02/03/2026;18/07/2026;Projeto Multimídia I;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;102;FABRIZZIA BOCACCIO CINEL LACERDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;5º Semestre;PM5M26/1  ;02/03/2026;18/07/2026;Direção Transmídia;MANHÃ - M;TERÇA-FEIRA;09:00 - 12:00;ONLINE;MARIA HENRIQUETA CREIDY SATT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;5º Semestre;PM5M26/1  ;02/03/2026;18/07/2026;Projeto Multimídia II;MANHÃ - M;QUINTA-FEIRA;09:00 - 12:00;ONLINE;FABRIZZIA BOCACCIO CINEL LACERDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;5º Semestre;PM5M26/1  ;02/03/2026;18/07/2026;Tópicos Especiais em Tecnologia e Mercado;MANHÃ - M;SEGUNDA-FEIRA;09:00 - 12:00;ONLINE;FABRICIO AUGUSTO KIPPER
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;5º Semestre;PM5N26/1  ;02/03/2026;18/07/2026;Direção Transmídia;NOITE - N;TERÇA-FEIRA;19:00 - 22:00;ONLINE;MARIA HENRIQUETA CREIDY SATT
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;5º Semestre;PM5N26/1  ;02/03/2026;18/07/2026;Novas Mídias;NOITE - N;QUARTA-FEIRA;19:00 - 22:00;ONLINE;FELIPE RODRIGO BORBA DA ROSA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;5º Semestre;PM5N26/1  ;02/03/2026;18/07/2026;Projeto Multimídia II;NOITE - N;QUINTA-FEIRA;19:00 - 22:00;ONLINE;FABRIZZIA BOCACCIO CINEL LACERDA
CENTRO UNIVERSITÁRIO SENAC-RS;2026;1;CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO MULTIMÍDIA;5º Semestre;PM5N26/1  ;02/03/2026;18/07/2026;Tópicos Especiais em Tecnologia e Mercado;NOITE - N;SEGUNDA-FEIRA;19:00 - 22:00;ONLINE;FABRICIO AUGUSTO KIPPER
