CURSO;MÓDULO;DISCIPLINA;OPTATIVA
IA;4º Semestre;Redes Neurais e Aprendizado Profundo;NÃO
IA;5º Semestre;Aprendizado de Máquina II;NÃO
IA;5º Semestre;Big Data;NÃO
IA;5º Semestre;Processamento de Linguagem Natural;NÃO
IA;5º Semestre;Projeto de Desenvolvimento I;NÃO
IA;5º Semestre;Transformação Digital;NÃO
IA;5º Semestre;Visão Computacional;NÃO
IA;6º Semestre;Algoritmos e Estruturas de Dados I;SIM
IA;6º Semestre;Algoritmos e Estruturas de Dados II;SIM
IA;6º Semestre;Arquiteturas de Computação em Nuvem;SIM
IA;6º Semestre;Data e Machine Learning Operations;NÃO
IA;6º Semestre;Desenvolvimento de Interfaces para Web;SIM
IA;6º Semestre;Gestão Ágil de Projetos;SIM
IA;6º Semestre;Gestão de TI;SIM
IA;6º Semestre;Internet das Coisas - IoT;SIM
IA;6º Semestre;Introdução à Cibersegurança;NÃO
IA;6º Semestre;Programação Web;SIM
IA;6º Semestre;Projeto de Desenvolvimento II;NÃO
IA;6º Semestre;Tópicos Avançados em Tecnologia;NÃO
IA;6º Semestre;Experiência do Usuário e Design de Interface;SIM
MKT;1º Semestre;Comunicação Criativa;NÃO
MKT;1º Semestre;Fundamentos do Design;NÃO
MKT;1º Semestre;Gestão de Vendas;NÃO
MKT;1º Semestre;Marketing Estratégico;NÃO
MKT;1º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
MKT;2º Semestre;Análise de Cenários Econômicos Globais;NÃO
MKT;2º Semestre;Branding;NÃO
MKT;2º Semestre;Cultura e Clima Organizacional;NÃO
MKT;2º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
MKT;2º Semestre;Experiência do Usuário e Design de Interface;NÃO
MKT;2º Semestre;Pesquisa e Tendências de Consumo;NÃO
MKT;3º Semestre;Análise e Ciência de Dados;NÃO
MKT;3º Semestre;Logística Integrada;NÃO
MKT;3º Semestre;Marketing do Varejo e Serviços;NÃO
MKT;3º Semestre;Precificação e Valor de Mercado;NÃO
MKT;3º Semestre;Produção de Vídeo;NÃO
MKT;4º Semestre;Empreendedorismo;NÃO
MKT;4º Semestre;Estratégias de Marketing Digital;NÃO
MKT;4º Semestre;Inovação e Desenvolvimento de Produtos;NÃO
MKT;4º Semestre;Produção de Conteúdo e Storytelling;NÃO
MKT;4º Semestre;Projeto Integrador - Gestão Ágil e Inovação;NÃO
MKT;5º Semestre;Criação de Roteiros;SIM
MKT;5º Semestre;Cultura, Identidade e Comportamento;SIM
MKT;5º Semestre;Desenho Básico;SIM
MKT;5º Semestre;Desenvolvimento Gráfico;SIM
MKT;5º Semestre;Fotografia;SIM
MKT;5º Semestre;Gamificação Empresarial;NÃO
MKT;5º Semestre;Gestão da Cadeia de Suprimentos;SIM
MKT;5º Semestre;Liderança Estratégica;SIM
MKT;5º Semestre;Língua Brasileira de Sinais - Libras;SIM
MKT;5º Semestre;Mercados Internacionais e Negócios;SIM
MKT;5º Semestre;Métricas e Performance Digital;NÃO
MKT;5º Semestre;Produção de Áudio;SIM
MKT;5º Semestre;Produção de Moda;SIM
MKT;5º Semestre;Projeto Integrador - Consultoria Organizacional;NÃO
MKT;5º Semestre;Tópicos Especiais em Marketing;NÃO
PG;1º Semestre;Gestão da Cadeia de Suprimentos;NÃO
PG;1º Semestre;Gestão de Vendas;NÃO
PG;1º Semestre;Marketing Estratégico;NÃO
PG;1º Semestre;Modelos de Negócios;NÃO
PG;1º Semestre;Raciocínio Lógico;NÃO
PG;2º Semestre;Análise de Cenários Econômicos Globais;NÃO
PG;2º Semestre;Contabilidade Empresarial;NÃO
PG;2º Semestre;Cultura e Clima Organizacional;NÃO
PG;2º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
PG;2º Semestre;Matemática para Negócios;NÃO
PG;2º Semestre;Pesquisa e Tendências de Consumo;NÃO
PG;3º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
PG;3º Semestre;Logística Integrada;NÃO
PG;3º Semestre;Mercados Internacionais e Negócios;NÃO
PG;3º Semestre;Precificação e Valor de Mercado;NÃO
PG;3º Semestre;Sistemas de Produção e Operações;NÃO
PG;4º Semestre;Business Intelligence e Análise Preditiva;NÃO
PG;4º Semestre;Estratégias de Marketing Digital;NÃO
PG;4º Semestre;Legislação e Práticas Trabalhistas;NÃO
PG;4º Semestre;Liderança Estratégica;NÃO
PG;4º Semestre;Projeto Integrador - Gestão Ágil e Inovação;NÃO
PG;5º Semestre;Branding;SIM
PG;5º Semestre;Comunicação Criativa;SIM
PG;5º Semestre;Empreendedorismo;NÃO
PG;5º Semestre;Fundamentos do Design;SIM
PG;5º Semestre;Gamificação Empresarial;NÃO
PG;5º Semestre;Inovação e Desenvolvimento de Produtos;SIM
PG;5º Semestre;Língua Brasileira de Sinais - Libras;SIM
PG;5º Semestre;Manipulação e Visualização de Dados;SIM
PG;5º Semestre;Marketing do Varejo e Serviços;SIM
PG;5º Semestre;Métricas e Performance Digital;SIM
PG;5º Semestre;Planejamento e Gestão Financeira;NÃO
PG;5º Semestre;Produção de Conteúdo e Storytelling;SIM
PG;5º Semestre;Produção de Vídeo;SIM
PG;5º Semestre;Projeto Integrador - Consultoria Organizacional;NÃO
PG;5º Semestre;Tópicos Avançados em Tecnologia;SIM
PMM;1º Semestre;Comunicação Criativa;NÃO
PMM;1º Semestre;Desenho Básico;NÃO
PMM;1º Semestre;Desenvolvimento Gráfico;NÃO
PMM;1º Semestre;Fundamentos do Design;NÃO
PMM;1º Semestre;Ilustração Digital;NÃO
PMM;1º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
PMM;2º Semestre;Criação de Roteiros;NÃO
PMM;2º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
PMM;2º Semestre;Experiência do Usuário e Design de Interface;NÃO
PMM;2º Semestre;Fotografia;NÃO
PMM;2º Semestre;Introdução ao 3D;NÃO
PMM;3º Semestre;Animação 2D;NÃO
PMM;3º Semestre;Personagem 3D;NÃO
PMM;3º Semestre;Produção de Áudio;NÃO
PMM;3º Semestre;Produção de Vídeo;NÃO
PMM;3º Semestre;Projeto de Jogos;NÃO
PMM;4º Semestre;Animação 3D;NÃO
PMM;4º Semestre;Efeitos Especiais;NÃO
PMM;4º Semestre;Empreendedorismo;NÃO
PMM;4º Semestre;Jogos Digitais;NÃO
PMM;4º Semestre;Projeto Multimídia I;NÃO
PMM;5º Semestre;Branding;SIM
PMM;5º Semestre;Cultura, Identidade e Comportamento;SIM
PMM;5º Semestre;Desenho de Moda;SIM
PMM;5º Semestre;Desenvolvimento de Interfaces para Web;SIM
PMM;5º Semestre;Design: Teoria e História;SIM
PMM;5º Semestre;Direção Transmídia;NÃO
PMM;5º Semestre;Estratégias de Marketing Digital;SIM
PMM;5º Semestre;História da Moda;SIM
PMM;5º Semestre;Língua Brasileira de Sinais - Libras;SIM
PMM;5º Semestre;Lógica de Programação;SIM
PMM;5º Semestre;Marketing Estratégico;SIM
PMM;5º Semestre;Mercados Internacionais e Negócios;SIM
PMM;5º Semestre;Métricas e Performance Digital;SIM
PMM;5º Semestre;Novas Mídias;NÃO
PMM;5º Semestre;Pesquisa de Consumo e Mercado;SIM
PMM;5º Semestre;Pesquisa de Tendências de Moda;SIM
PMM;5º Semestre;Pesquisa e Tendências de Consumo;SIM
PMM;5º Semestre;Precificação e Valor de Mercado;SIM
PMM;5º Semestre;Produção de Conteúdo e Storytelling;SIM
PMM;5º Semestre;Produção de Moda;SIM
PMM;5º Semestre;Projeto Integrador - Gestão Ágil e Inovação;SIM
PMM;5º Semestre;Projeto Multimídia II;NÃO
PMM;5º Semestre;Tópicos Avançados em Tecnologia;SIM
PMM;5º Semestre;Tópicos Especiais em Tecnologia e Mercado;NÃO
REDES;1º Semestre;Fundamentos Computacionais;NÃO
REDES;1º Semestre;Fundamentos de Redes de Computadores;NÃO
REDES;1º Semestre;Introdução à Cibersegurança;NÃO
REDES;1º Semestre;Lógica de Programação;NÃO
REDES;1º Semestre;Sistemas Operacionais;NÃO
REDES;2º Semestre;Arquitetura de Redes e Switching;NÃO
REDES;2º Semestre;Banco de Dados I;NÃO
REDES;2º Semestre;Comunicação de Dados;NÃO
REDES;2º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
REDES;2º Semestre;Sistemas Operacionais de Redes - Linux;NÃO
REDES;3º Semestre;Automação e Programabilidade em Redes;NÃO
REDES;3º Semestre;Fundamentos de DevOps;NÃO
REDES;3º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
REDES;3º Semestre;Projeto de Infraestrutura;NÃO
REDES;3º Semestre;Protocolos de Roteamento;NÃO
REDES;3º Semestre;Sistemas Operacionais de Redes - Windows;NÃO
REDES;4º Semestre;Empreendedorismo;NÃO
REDES;4º Semestre;Fundamentos de Computação em Nuvem;NÃO
REDES;4º Semestre;Proteção de Perímetro;NÃO
REDES;4º Semestre;Qualidade de Serviço em Redes;NÃO
REDES;4º Semestre;Redes sem Fio;NÃO
REDES;4º Semestre;Roteamento Avançado;NÃO
REDES;5º Semestre;Análise de Tráfego de Redes;NÃO
REDES;5º Semestre;Arquiteturas de Computação em Nuvem;NÃO
REDES;5º Semestre;Gestão Ágil de Projetos;NÃO
REDES;5º Semestre;Internet das Coisas - IoT;NÃO
REDES;5º Semestre;Projeto Integrador I;NÃO
REDES;6º Semestre;Algoritmos e Estruturas de Dados I;SIM
REDES;6º Semestre;Banco de Dados II;SIM
REDES;6º Semestre;Comunicação Criativa;SIM
REDES;6º Semestre;Criptografia Avançada;SIM
REDES;6º Semestre;Desenvolvimento de Interfaces para Web;SIM
REDES;6º Semestre;Desenvolvimento de Serviços e APIs;SIM
REDES;6º Semestre;Experiência do Usuário e Design de Interface;SIM
REDES;6º Semestre;Engenharia de Software I;SIM
REDES;6º Semestre;Engenharia de Software II;SIM
REDES;6º Semestre;Forense Computacional;SIM
REDES;6º Semestre;Gestão de Riscos e Compliance;NÃO
REDES;6º Semestre;Hardening em Sistemas Operacionais;SIM
REDES;6º Semestre;Inteligência Artificial;SIM
REDES;6º Semestre;Inteligência Contra Ameaças Cibernéticas;SIM
REDES;6º Semestre;Introdução a Criptografia;SIM
REDES;6º Semestre;Língua Brasileira de Sinais - Libras;SIM
REDES;6º Semestre;Matemática Financeira;SIM
REDES;6º Semestre;Monitoramento, Gerenciamento e Telemetria;NÃO
REDES;6º Semestre;Programação Orientada a Objetos;SIM
REDES;6º Semestre;Programação Web;SIM
REDES;6º Semestre;Projeto Integrador II;NÃO
REDES;6º Semestre;Resposta a Incidentes;SIM
REDES;6º Semestre;Segurança de Aplicações;SIM
REDES;6º Semestre;Segurança em Nuvem;NÃO
REDES;6º Semestre;Segurança Ofensiva;SIM
REDES;6º Semestre;Sistemas de Informação e Processos;SIM
REDES;6º Semestre;Tópicos Avançados em Redes e Segurança;NÃO
SEG;1º Semestre;Fundamentos Computacionais;NÃO
SEG;1º Semestre;Fundamentos de Redes de Computadores;NÃO
SEG;1º Semestre;Introdução à Cibersegurança;NÃO
SEG;1º Semestre;Lógica de Programação;NÃO
SEG;1º Semestre;Sistemas Operacionais;NÃO
SEG;2º Semestre;Arquitetura de Redes e Switching;NÃO
SEG;2º Semestre;Banco de Dados I;NÃO
SEG;2º Semestre;Ética, Cidadania e Sustentabilidade;NÃO
SEG;2º Semestre;Introdução a Criptografia;NÃO
SEG;2º Semestre;Sistemas Operacionais de Redes - Linux;NÃO
SEG;3º Semestre;Análise de Tráfego de Redes;NÃO
SEG;3º Semestre;Criptografia Avançada;NÃO
SEG;3º Semestre;Inteligência Contra Ameaças Cibernéticas;NÃO
SEG;3º Semestre;Marketing Pessoal e Comunicação Empresarial;NÃO
SEG;3º Semestre;Protocolos de Roteamento;NÃO
SEG;3º Semestre;Sistemas Operacionais de Redes - Windows;NÃO
SEG;4º Semestre;Empreendedorismo;NÃO
SEG;4º Semestre;Fundamentos de Computação em Nuvem;NÃO
SEG;4º Semestre;Gestão de Riscos e Compliance;NÃO
SEG;4º Semestre;Hardening em Sistemas Operacionais;NÃO
SEG;4º Semestre;Proteção de Perímetro;NÃO
SEG;4º Semestre;Segurança Ofensiva;NÃO
SEG;5º Semestre;Arquiteturas de Computação em Nuvem;NÃO
SEG;5º Semestre;Gestão Ágil de Projetos;NÃO
SEG;5º Semestre;Projeto Integrador I;NÃO
SEG;5º Semestre;Resposta a Incidentes;NÃO
SEG;5º Semestre;Segurança de Aplicações;NÃO
SEG;6º Semestre;Algoritmos e Estruturas de Dados I;SIM
SEG;6º Semestre;Algoritmos e Estruturas de Dados II;SIM
SEG;6º Semestre;Automação e Programabilidade em Redes;SIM
SEG;6º Semestre;Banco de Dados II;SIM
SEG;6º Semestre;Comunicação Criativa;SIM
SEG;6º Semestre;Comunicação de Dados;SIM
SEG;6º Semestre;Desenvolvimento de Interfaces para Web;SIM
SEG;6º Semestre;Desenvolvimento de Serviços e APIs;SIM
SEG;6º Semestre;Experiência do ;SIM
SEG;6º Semestre;Engenharia de Software I;SIM
SEG;6º Semestre;Engenharia de Software II;SIM
SEG;6º Semestre;Forense Computacional;NÃO
SEG;6º Semestre;Fundamentos de DevOps;SIM
SEG;6º Semestre;Inteligência Artificial;SIM
SEG;6º Semestre;Internet das Coisas - IoT;SIM
SEG;6º Semestre;Língua Brasileira de Sinais - Libras;SIM
SEG;6º Semestre;Matemática Financeira;SIM
SEG;6º Semestre;Monitoramento, Gerenciamento e Telemetria;NÃO
SEG;6º Semestre;Programação Orientada a Objetos;SIM
SEG;6º Semestre;Programação Web;SIM
SEG;6º Semestre;Projeto de Infraestrutura;SIM
SEG;6º Semestre;Projeto Integrador II;NÃO
SEG;6º Semestre;Qualidade de Serviço em Redes;SIM
SEG;6º Semestre;Redes sem Fio;SIM
SEG;6º Semestre;Roteamento Avançado;SIM
SEG;6º Semestre;Segurança em Nuvem;NÃO
SEG;6º Semestre;Sistemas de Informação e Processos;SIM
SEG;6º Semestre;Tópicos Avançados em Redes e Segurança;NÃO
