turma;curso_prefixo;disciplina;turno;dia_semana;sala;professor;vagas;alunos
ADS5M26/2;ADS;Arquiteturas de Computação em Nuvem;MANHA;SEX;602;INSTRUTOR A DEFINIR;30;12
ADS1N26/2;ADS;Lógica de Programação;NOITE;SEX;601;IVONEI DA SILVA MARQUES;30;34
ADS2M26/2;ADS;Desenvolvimento Web para Dispositivos Móveis;MANHA;TER;602;ROBERTO DOS SANTOS OLIVEIRA;30;30
ADS4N26/2;ADS;Programação Full Stack;NOITE;QUI;602;ROMULO REIS DE OLIVEIRA;30;21
MK4N26/2;MK;Projeto Integrador - Gestão Ágil e Inovação;NOITE;TER;602;MARIANA MOTTA FLECK;30;32
IA3N26/2;IA;Mineração de Dados e Inteligência de Negócio;NOITE;SEG;602;INSTRUTOR A DEFINIR;30;10
ADS1N26/2;ADS;Desenvolvimento de Interfaces para Web;NOITE;QUA;602;ROMULO REIS DE OLIVEIRA;30;20
ADS2M26/2;ADS;Programação Orientada a Objetos;MANHA;QUI;603;FABIO GIULIAN MARQUES;30;27
ADS3M26/2;ADS;Banco de Dados II;MANHA;SEG;603;MARCIO PAIVA DA MOTTA;30;10
ADS2M26/2;ADS;Programação Web;MANHA;SEX;603;ROBERTO DOS SANTOS OLIVEIRA;30;18
ADS3N26/2;ADS;Engenharia de Software II;NOITE;SEX;602;FABIO GIULIAN MARQUES;30;5
ADS3N26/2;ADS;Banco de Dados II;NOITE;QUI;603;RAFAEL GASTAO COIMBRA FERREIRA;30;29
IA1N26/2;IA;Manipulação e Visualização de Dados;NOITE;TER;603;Akira Borba;30;30
ADS4N26/2;ADS;Algoritmos e Estruturas de Dados II;NOITE;SEG;603;IVONEI DA SILVA MARQUES;30;20
ADS1M26/2;ADS;Desenvolvimento de Interfaces para Web;MANHA;QUA;603;ROBERTO DOS SANTOS OLIVEIRA;34;31
RD1N26/2;RD;Fundamentos de Redes de Computadores;NOITE;QUA;603;PRISCILA SCHAFHAUZER;30;28
ADS5M26/2;ADS;Projeto de Desenvolvimento I;MANHA;QUI;604;LUCIANO ZANUZ;30;12
ADS3M26/2;ADS;Desenvolvimento de Serviços e APIs;MANHA;TER;604;ADALTO SELAU SPARREMBERGER;30;11
ADS3M26/2;ADS;Engenharia de Software II;MANHA;SEX;604;MARCIO PAIVA DA MOTTA;30;6
